# dry-run: state from device-backup-2026-09-25.json; the real run starts with the read sequence
# step 1: write modified state (band 1 gain 0.0 -> -0.5 dB), mode=devicepeq
      0.4 ms TX (dry-run, not sent) 4b 01 09 18 00 00 00 00 d3 b9 fe 3f 03 9f 2d 80 67 b8 d3 3f fd 60 d2 7f c5 8d 2d c0 1f 00 c0 00 80 ff 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
     21.0 ms TX (dry-run, not sent) 4b 01 09 18 00 01 00 00 00 00 00 40 f6 ac 58 80 eb 97 a7 3f 0a 53 a7 7f 15 68 58 c0 3e 00 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
     41.4 ms TX (dry-run, not sent) 4b 01 09 18 00 02 00 00 00 00 00 40 47 d7 b2 80 ef 3f 4e 3f b9 28 4d 7f 11 c0 b1 c0 7d 00 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
     61.9 ms TX (dry-run, not sent) 4b 01 09 18 00 03 00 00 00 00 00 40 ec e8 65 81 e0 6d 9e 3e 14 17 9a 7e 20 92 61 c1 fa 00 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
     82.4 ms TX (dry-run, not sent) 4b 01 09 18 00 04 00 00 00 00 00 40 cf ab cc 82 ae 7f 44 3d 31 54 33 7d 52 80 bb c2 f4 01 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    102.8 ms TX (dry-run, not sent) 4b 01 09 18 00 05 00 00 00 00 00 40 70 49 9c 85 d1 f0 a6 3a 90 b6 63 7a 2f 0f 59 c5 e8 03 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    123.3 ms TX (dry-run, not sent) 4b 01 09 18 00 06 00 00 00 00 00 40 0b 06 41 8b b4 de c0 35 f5 f9 be 74 4c 21 3f ca d0 07 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    143.4 ms TX (dry-run, not sent) 4b 01 09 18 00 07 00 00 00 00 00 40 98 36 8e 96 41 06 2a 2d 68 c9 71 69 bf f9 d5 d2 a0 0f c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    263.7 ms TX (dry-run, not sent) 4b 01 03 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    313.9 ms TX (dry-run, not sent) 4b 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    334.4 ms TX (dry-run, not sent) 4b 01 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    354.9 ms TX (dry-run, not sent) 4b 01 0a 04 00 00 ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    405.1 ms TX (dry-run, not sent) 4b 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
# step 2: restore original state
    605.4 ms TX (dry-run, not sent) 4b 01 09 18 00 00 00 00 00 00 00 40 98 54 2c 80 a7 bc d3 3f 68 ab d3 7f 59 43 2c c0 1f 00 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    625.5 ms TX (dry-run, not sent) 4b 01 09 18 00 01 00 00 00 00 00 40 f6 ac 58 80 eb 97 a7 3f 0a 53 a7 7f 15 68 58 c0 3e 00 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    645.7 ms TX (dry-run, not sent) 4b 01 09 18 00 02 00 00 00 00 00 40 47 d7 b2 80 ef 3f 4e 3f b9 28 4d 7f 11 c0 b1 c0 7d 00 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    665.9 ms TX (dry-run, not sent) 4b 01 09 18 00 03 00 00 00 00 00 40 ec e8 65 81 e0 6d 9e 3e 14 17 9a 7e 20 92 61 c1 fa 00 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    686.4 ms TX (dry-run, not sent) 4b 01 09 18 00 04 00 00 00 00 00 40 cf ab cc 82 ae 7f 44 3d 31 54 33 7d 52 80 bb c2 f4 01 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    706.7 ms TX (dry-run, not sent) 4b 01 09 18 00 05 00 00 00 00 00 40 70 49 9c 85 d1 f0 a6 3a 90 b6 63 7a 2f 0f 59 c5 e8 03 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    726.9 ms TX (dry-run, not sent) 4b 01 09 18 00 06 00 00 00 00 00 40 0b 06 41 8b b4 de c0 35 f5 f9 be 74 4c 21 3f ca d0 07 c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    747.1 ms TX (dry-run, not sent) 4b 01 09 18 00 07 00 00 00 00 00 40 98 36 8e 96 41 06 2a 2d 68 c9 71 69 bf f9 d5 d2 a0 0f c0 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    867.7 ms TX (dry-run, not sent) 4b 01 03 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    918.1 ms TX (dry-run, not sent) 4b 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    938.3 ms TX (dry-run, not sent) 4b 01 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    958.7 ms TX (dry-run, not sent) 4b 01 0a 04 00 00 ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
   1009.2 ms TX (dry-run, not sent) 4b 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
